브랜드,상품명,가격,리뷰수,상품평점,닉네임,리뷰,별점,날짜,맞춤정보,선택옵션,한줄평,스타일최고,구매욕상승,궁금증해소
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,a2**,"오버사이즈인 점이 우선 정말 마음에 듭니다. 팔이 긴 편이라 대체로 소매가 딱 맞았는데 덮을 수 있어서 너무 좋아요ㅠ 속에 안감도 부드러워서 좋습니다. 살짝 아쉬운 건 보풀인지 털인지 살짝씩 나오는 것 같고, 실이 삐져나온 것이 마감 처리가 약간 아쉽…더보기",4,24.01.05,166cm·58kg·상의 55,진회색해당없음,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,수우우웁,색상 고민 정말 많이 하다 무난한 색상들은 가지고 있으니 흔하지 않은 제가 좋아하는 핑크 색깔로 선택하게 되었어요 ㅎㅎ 색감은 정말 연핑크 색이라 너무 마음에 들어요 안에 기모감도 매우 따뜻하구요 다만 저는 엉덩이 쪽이 하비라서 ㅎㅎ 길이감이 좀 더 길거나 밑 시보리가 널널했음 했는데 생각보다 엄청 쫀쫀하네요 그래도 전체적인 퀄리티는 너무 마음에 듭니다!!,5,23.12.22,160cm·70kg·상의 77,연핑크해당없음,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,mm**,"길이사이즈 적당히 엉덩이 덮을정돈데 너무 벙벙해보이지않아서 좋앟습니다 안에 기모도 보들하고 따뜻하게입을거 같습니다
근데 배송이 오래걸렸고 기다려서 받은거치곤 이렇게 실밥?마감이 깔끔하게 되잇진않네요..",4,23.12.17,158cm·67kg·상의 55,진소라해당없음,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,1
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,gh**,"톡톡하니 좋네요 사진상에 좀 부하게 나왔는데 실제로는 괜찮아요 재질은 막 엄청 좋은 느낌은 아니지만 
그라도 가격대비 잘 만들어진 옷같아서 더 구입하고싶아ㅓ오 어두운계열이 더 예쁠것같아용ㅋ",5,23.12.14,160cm·55kg·상의 55,연회색해당없음,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,2
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,zc**,"남녀 공용이라 그런지 여자가 입었을땐 큰 느낌이 있지만 그것마저 예뻐요!
후드 재질 두께 모두 만족!!!! 한겨울도 가능할듯해요
올해 교복 마냥 줄곧 입고 다녀야겠어요
남편이랑 같이 입으려고 두개 샀는데 두개사길 진짜 잘한거 같아요
다들 꼭 남친이나 남편과 함께 커플템으로 입으세요ㅎㅎ 완전 예뻐요",5,23.12.13,155cm·56kg·상의 66,진회색네이비,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",1,0,2
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,gh**,"기본이에요, 회색 후드에 남녀 공용이라 박시하게 귀엽습니다ㅋㅋ 기장이 좀 더 있었으면 하는데, 그럼 남자분들 핏이 예쁘지 않을 것 같아서 끝단을 말아입어도 될 것 같아요.
집순이 친구랑 잠옷으로 입으려고 구매했는데 보들보들해서 기분 좋게 잘 것 같습니다ㅎㅎ",5,23.12.10,167cm·48kg·상의 55,메란지해당없음,"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,fo**,"왜 후드 맛집이라고 하는건지 알겠어요.
정말로 질이 좋아요. 따뜻하고 도톰하고 모자도 커서 귀엽습니다. 사이즈는 조금 클 수도 있는데 편하게 입는다고 생각하면 괜찮을 것 같아요. 전체적인 핏은 첫번째 사진 보시고, 두번째 사진은 어깨가 좁은 편인데 어깨부분도 이상하지 않고 괜찮아요.
단독으로 입어도 기모가 너무 부드러워서 좋고 냄새도 안나고 색감이나 마감도 괜찮아서 아주 만족합니다.

다만 후드가 무거워서 잘못하면 목이 졸리는 느낌이 들 때가 있기때문에 모자를 잘 정돈해주어야 해요! 그리고 매우 도톰해서 겉에 아우터를 걸치려면 좀 빡세더라구요. 시도해보고 안되겠으면 이너를 더 두껍게 입고 너무 춥지 않을 때 외투 없이 입는게 편할것 같아요.",5,23.12.06,166cm·52kg·상의 55,메란지해당없음,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,1,1
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,ej**,저는 폴라포랑 네이비 구매했는데요 배송은 좀 오래걸렸어요 2주정도? 근데 막상오니까 색상이 진하고 예뻐요 핏은 남성은 정말 딱 맞을거 같고 좀 작고 왜소함 여성분들은 좀 많이 클수도 있을거 같아요.,5,23.11.29,,네이비진보라(폴라포),"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,1
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,ib**,일단 엄청 따뜻하구요!!! 이너까지 잘 챙겨입고 요 후드티까지 입으면 추위가 느껴질 틈이 없어요.  키 160기준 허리보다 살짝 아래로 길이 떨어지구요.(허리쪽 단은 안으로 넣어서 입은 기준선) 아래쪽이 커서 살짝 항아리 처럼 되긴 하는데 그게 이상한게 아니고 오버핏 느낌으로 이쁘게 커보여서 괜찮은 듯해요! 진회색도 흔하지 않고 넘나 이쁜것... 기다려서 받을만 한 것같아요. 강추해용,5,23.11.24,160cm·51kg·상의 55,진회색해당없음,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",2,2,0
크림치즈마켓,"[주문폭주!/후드1등❄️] 자체제작 #크치Made#남녀공용 꿈에 나온 핏, 양기모 후드티 ; 20컬러","27,800원","4,314",4.8,sp**,"너무 큰거 아냐! 라고 생각했지만 역시 크림치즈 옷핏이 너무 맘에 듭니다!! 이뻐요 검정은 무난해서 잘 안사는데 퍼스널컬러가 검정이 어울린다고 해서 크림치즈에서 구매해봤어요 모델님 처럼 굉장한 핏은 아니지만 저같은 평범한 사람도 잘 입을수 있어서 자주 구매하고 있어요 검정색이라서 그렇다지만 먼지가 올때부터 너무 많이 묻어있어요,,, 낙낙낙낙한 폼으로 편하게 입을수 있을것 같아요! 만족합니다 ",4,23.11.18,160cm·60kg·상의 66,검정해당없음,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""",1,0,1
