iter	Passed	Remaining
0	9	9400
1	17	8670
2	27	9200
3	34	8621
4	44	8918
5	52	8720
6	58	8321
7	63	7834
8	69	7622
9	74	7364
10	80	7207
11	86	7082
12	91	6955
13	98	6921
14	104	6875
15	112	6891
16	118	6848
17	125	6831
18	130	6717
19	136	6664
20	142	6627
21	148	6623
22	155	6600
23	161	6586
24	169	6620
25	175	6578
26	180	6501
27	185	6439
28	190	6362
29	194	6301
30	200	6268
31	206	6250
32	212	6225
33	218	6218
34	224	6185
35	229	6146
36	236	6149
37	242	6129
38	247	6103
39	253	6095
40	258	6050
41	263	6013
42	270	6023
43	277	6034
44	283	6021
45	289	6010
46	295	5994
47	300	5962
48	305	5923
49	310	5899
50	317	5905
51	325	5928
52	331	5924
53	338	5935
54	346	5958
55	356	6006
56	363	6020
57	370	6023
58	376	6001
59	381	5982
60	389	5991
61	397	6010
62	403	6003
63	408	5971
64	412	5937
65	417	5911
66	422	5883
67	426	5849
68	431	5817
69	435	5784
70	440	5760
71	445	5743
72	451	5734
73	456	5710
74	462	5699
75	466	5672
76	470	5641
77	475	5617
78	480	5597
79	485	5583
80	490	5567
81	496	5553
82	500	5530
83	505	5511
84	510	5494
85	514	5470
86	518	5442
87	523	5420
88	527	5402
89	532	5386
90	537	5370
91	542	5354
92	548	5346
93	553	5331
94	558	5319
95	562	5300
96	567	5284
97	572	5273
98	577	5253
99	581	5233
100	585	5215
101	591	5205
102	595	5188
103	600	5171
104	604	5156
105	609	5139
106	614	5126
107	619	5113
108	623	5097
109	628	5082
110	633	5073
111	638	5061
112	642	5043
113	646	5024
114	651	5009
115	659	5026
116	665	5019
117	671	5017
118	676	5007
119	681	4999
120	687	4996
121	692	4985
122	697	4976
123	704	4975
124	709	4969
125	715	4965
126	722	4966
127	727	4958
128	736	4969
129	741	4960
130	746	4949
131	752	4951
132	759	4954
133	767	4962
134	772	4949
135	778	4943
136	784	4941
137	790	4938
138	796	4936
139	804	4943
140	809	4934
141	815	4924
142	820	4914
143	825	4908
144	831	4904
145	838	4902
146	843	4895
147	851	4900
148	856	4891
149	861	4882
150	866	4872
151	871	4860
152	876	4851
153	881	4841
154	886	4831
155	891	4825
156	897	4816
157	902	4807
158	907	4801
159	913	4796
160	918	4784
161	922	4773
162	928	4769
163	934	4762
164	939	4753
165	944	4745
166	950	4739
167	956	4736
168	962	4732
169	968	4730
170	975	4727
171	980	4718
172	985	4711
173	990	4704
174	996	4697
175	1002	4693
176	1008	4688
177	1013	4680
178	1019	4677
179	1024	4669
180	1029	4659
181	1034	4649
182	1039	4639
183	1043	4629
184	1048	4620
185	1053	4608
186	1059	4604
187	1064	4596
188	1069	4587
189	1074	4581
190	1080	4577
191	1085	4566
192	1089	4556
193	1094	4546
194	1098	4535
195	1103	4525
196	1107	4513
197	1111	4502
198	1116	4493
199	1122	4489
200	1128	4484
201	1132	4473
202	1137	4465
203	1143	4460
204	1147	4448
205	1151	4439
206	1156	4430
207	1160	4418
208	1166	4414
209	1172	4409
210	1178	4406
211	1184	4401
212	1191	4403
213	1196	4394
214	1201	4387
215	1206	4378
216	1211	4371
217	1216	4364
218	1221	4355
219	1227	4352
220	1234	4350
221	1240	4348
222	1246	4343
223	1252	4340
224	1258	4333
225	1264	4329
226	1270	4324
227	1274	4315
228	1279	4306
229	1284	4300
230	1289	4293
231	1294	4285
232	1300	4281
233	1305	4272
234	1309	4263
235	1315	4258
236	1319	4249
237	1324	4239
238	1329	4233
239	1334	4225
240	1339	4217
241	1344	4209
242	1349	4203
243	1353	4195
244	1359	4189
245	1364	4180
246	1368	4172
247	1372	4162
248	1377	4153
249	1381	4144
250	1385	4134
251	1389	4124
252	1394	4116
253	1399	4110
254	1405	4105
255	1410	4098
256	1414	4089
257	1418	4080
258	1423	4071
259	1427	4063
260	1431	4053
261	1435	4043
262	1439	4033
263	1444	4027
264	1449	4019
265	1453	4010
266	1457	4002
267	1462	3993
268	1467	3986
269	1471	3979
270	1477	3973
271	1482	3967
272	1486	3957
273	1490	3949
274	1494	3940
275	1498	3930
276	1502	3920
277	1507	3914
278	1513	3910
279	1518	3904
280	1523	3898
281	1527	3890
282	1531	3879
283	1535	3870
284	1539	3861
285	1542	3851
286	1546	3841
287	1550	3833
288	1555	3826
289	1559	3817
290	1563	3808
291	1567	3799
292	1571	3791
293	1576	3786
294	1581	3780
295	1586	3774
296	1591	3767
297	1595	3758
298	1599	3749
299	1603	3741
300	1607	3731
301	1611	3723
302	1614	3714
